goal,type,question,options,answer,difficulty,topic
Amazon SDE,mcq,What is the time complexity of binary search?,O(n)|O(log n)|O(n log n)|O(1),O(log n),intermediate,Algorithms
Amazon SDE,mcq,Which data structure uses FIFO order?,Stack|Queue|Tree|Graph,Queue,beginner,Data Structures
Amazon SDE,mcq,What does ACID stand for in databases?,"Atomicity, Consistency, Isolation, Durability|Availability, Consistency, Integrity, Durability|Atomicity, Concurrency, Isolation, Durability|Aggregation, Consistency, Isolation, Durability","Atomicity, Consistency, Isolation, Durability",intermediate,Database Systems
Amazon SDE,short_answer,What design pattern creates objects without specifying exact class?,,Factory Method Pattern,advanced,Design Patterns
Amazon SDE,mcq,Which protocol is used for secure HTTP transmission?,FTP|HTTPS|SMTP|TCP,HTTPS,beginner,Web Technologies
Amazon SDE,mcq,What OOP principle allows treating objects as common supertype?,Encapsulation|Abstraction|Polymorphism|Inheritance,Polymorphism,intermediate,Object-Oriented Programming
Amazon SDE,short_answer,What is QuickSort's worst-case time complexity?,,O(n²),advanced,Algorithms
Amazon SDE,mcq,Which is NOT a NoSQL database?,MongoDB|Cassandra|PostgreSQL|Redis,PostgreSQL,intermediate,Database Systems
Amazon SDE,mcq,What is the main advantage of microservices?,Simpler debugging|Tight coupling|Independent deployment/scalability|Reduced network latency,Independent deployment/scalability,advanced,System Design
Amazon SDE,short_answer,HTTP status code for successful POST request?,,201 Created,beginner,Web Technologies
Amazon SDE,mcq,Which algorithm finds shortest path in weighted graph?,BFS|DFS|Dijkstra|Binary Search,Dijkstra,intermediate,Algorithms
Amazon SDE,mcq,What is the CAP theorem?,"Consistency, Availability, Partition tolerance|Concurrency, Atomicity, Persistence|Consistency, Atomicity, Partition tolerance|Concurrency, Availability, Persistence","Consistency, Availability, Partition tolerance",advanced,System Design
Amazon SDE,short_answer,What does SQL stand for?,,Structured Query Language,beginner,Database Systems
Amazon SDE,mcq,Which sorting algorithm has best worst-case time?,QuickSort|BubbleSort|MergeSort|SelectionSort,MergeSort,intermediate,Algorithms
Amazon SDE,short_answer,What is deadlock?,,When processes wait for resources held by each other,intermediate,Operating Systems
Amazon SDE,mcq,Which is NOT a JavaScript framework?,React|Angular|Django|Vue.js,Django,beginner,Web Technologies
Amazon SDE,mcq,What is the main purpose of an index in databases?,To store backups|To improve query performance|To enforce data types|To manage transactions,To improve query performance,intermediate,Database Systems
Amazon SDE,short_answer,What principle states entities should be open for extension but closed for modification?,,Open/Closed Principle,advanced,Software Design
Amazon SDE,mcq,Which data structure uses LIFO order?,Queue|Stack|Heap|Tree,Stack,beginner,Data Structures
Amazon SDE,mcq,What does API stand for?,Application Programming Interface|Automated Program Integration|Application Process Integration|Automated Programming Interface,Application Programming Interface,beginner,Web Technologies
Amazon SDE,short_answer,What is memoization in dynamic programming?,,Storing results of expensive function calls,intermediate,Dynamic Programming
Amazon SDE,mcq,Which algorithm is most efficient for maximum subarray sum?,Brute Force (O(n²))|Kadane's Algorithm (O(n))|Divide and Conquer (O(n log n))|Dynamic Programming (O(n²)),Kadane's Algorithm (O(n)),intermediate,Arrays
Amazon SDE,short_answer,Write a function to reverse a linked list in-place.,,def reverse_list(head):\n    prev = None\n    current = head\n    while current:\n        next_node = current.next\n        current.next = prev\n        prev = current\n        current = next_node\n    return prev,intermediate,Linked Lists
Amazon SDE,mcq,What is time complexity of Dijkstra's with binary heap?,O(V²)|O(V + E)|O((V + E) log V)|O(V log V + E),O((V + E) log V),advanced,Graphs
